id,wikidataId,placeType,nameType,name,searchKey
https://d-nb.info/gnd/7543523-8,None,https://d-nb.info/standards/elementset/gnd#MemberState,https://d-nb.info/standards/elementset/gnd#preferredNameForThePlaceOrGeographicName,Dependencias Federales,
https://d-nb.info/gnd/7576225-0,http://www.wikidata.org/entity/Q133083,https://d-nb.info/standards/elementset/gnd#MemberState,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,Pretoria-Witwatersrand-Vereeniging,
https://d-nb.info/gnd/7576225-0,http://www.wikidata.org/entity/Q133083,https://d-nb.info/standards/elementset/gnd#MemberState,https://d-nb.info/standards/elementset/gnd#preferredNameForThePlaceOrGeographicName,Gauteng,
https://d-nb.info/gnd/7599824-5,http://www.wikidata.org/entity/Q61309,https://d-nb.info/standards/elementset/gnd#MemberState,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,Colima (Estado),
https://d-nb.info/gnd/7599824-5,http://www.wikidata.org/entity/Q61309,https://d-nb.info/standards/elementset/gnd#MemberState,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,Colima (Staat),
https://d-nb.info/gnd/7599824-5,http://www.wikidata.org/entity/Q61309,https://d-nb.info/standards/elementset/gnd#MemberState,https://d-nb.info/standards/elementset/gnd#preferredNameForThePlaceOrGeographicName,Staat Colima,
https://d-nb.info/gnd/7604326-5,http://www.wikidata.org/entity/Q46508,https://d-nb.info/standards/elementset/gnd#MemberState,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,Niederkalifornien (Süd),
https://d-nb.info/gnd/7604326-5,http://www.wikidata.org/entity/Q46508,https://d-nb.info/standards/elementset/gnd#MemberState,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,Staat Niederkalifornien (Süd),
https://d-nb.info/gnd/7604326-5,http://www.wikidata.org/entity/Q46508,https://d-nb.info/standards/elementset/gnd#MemberState,https://d-nb.info/standards/elementset/gnd#variantNameForThePlaceOrGeographicName,Estado de Baja California Sur,
https://d-nb.info/gnd/7604326-5,http://www.wikidata.org/entity/Q46508,https://d-nb.info/standards/elementset/gnd#MemberState,https://d-nb.info/standards/elementset/gnd#preferredNameForThePlaceOrGeographicName,Baja California Sur,
